,domain_interaction,count
693,3.30.1360.80:major_partner-3.30.1360.80:partner,15
695,2.60.120.260:major_partner-3.20.20.80:partner,15
696,3.30.63.10:major_partner-3.40.50.300:partner,15
698,3.30.420.40:major_partner-3.30.420.510:partner,15
701,3.30.420.40:partner-3.40.367.20:major_partner,15
704,2.60.40.180:major_partner-2.60.40.180:partner,15
705,3.20.20.80:major_partner-3.90.400.10:partner,15
711,1.10.300.10:partner-3.40.440.10:partner-3.90.170.10:partner,14
712,1.10.1060.10:partner-1.20.1300.10:major_partner,14
713,1.10.780.10:major_partner-1.20.850.10:partner-1.20.850.10:partner,14
717,2.60.120.260:major_partner-3.20.20.80:major_partner,14
718,2.70.98.20:major_partner-3.10.450.40:major_partner,14
722,3.30.43.10:major_partner-3.30.465.10:partner,14
723,3.30.420.530:major_partner-3.30.420.540:partner,14
724,3.30.46.10:partner-3.40.50.150:major_partner,14
725,2.40.30.10:partner-3.40.50.80:major_partner,14
727,1.10.300.10:partner-3.40.440.10:major_partner,14
728,1.20.840.10:partner-1.20.840.10:partner-3.30.70.470:partner,14
734,2.60.40.420:major_partner-2.60.40.420:major_partner,13
735,3.20.10.10:partner-3.30.470.10:major_partner,13
739,1.10.240.10:partner-3.40.50.620:major_partner,13
740,3.30.470.20:partner-3.40.50.20:major_partner,13
742,2.40.40.20:partner-3.40.228.10:partner-3.40.50.740:partner,13
743,1.20.58.710:partner-3.40.710.10:major_partner,13
745,1.10.240.10:major_partner-3.40.50.620:partner,13
746,3.30.390.30:major_partner-3.50.50.60:partner,13
749,1.20.5.510:partner-1.20.5.700:major_partner,12
752,3.40.50.10380:partner-3.40.50.10380:partner-3.40.50.720:partner,12
753,3.30.465.10:partner-3.90.78.10:major_partner,12
754,3.40.50.450:major_partner-3.40.50.460:partner,12
757,1.10.4010.10:major_partner-1.10.4010.10:partner,12
759,3.40.50.10800:major_partner-3.40.50.10800:partner,12
760,3.40.50.1980:major_partner-3.40.50.1980:partner,12
761,3.40.50.2030:major_partner-3.40.50.2030:partner,12
762,3.40.50.1370:partner-3.40.50.1370:partner-3.40.50.1370:partner,12
763,3.30.360.50:partner-3.60.90.10:major_partner,12
764,2.20.130.10:partner-3.40.50.150:major_partner,12
766,1.10.275.10:partner-1.20.200.10:partner-1.20.200.10:partner,12
768,1.20.1270.50:partner-3.20.110.10:major_partner,12
